2024-04-17 17:01:53
  1위, 아일릿 (ILLIT) - Magnetic
  2위, (여자)아이들 - 나는 아픈 건 딱 질색이니까
  3위, TWS (투어스) - 첫 만남은 계획대로 되지 않아
  4위, 비비 (BIBI) - 밤양갱
  5위, DAY6 (데이식스) - 한 페이지가 될 수 있게
  6위, DAY6 (데이식스) - 예뻤어
  7위, LE SSERAFIM (르세라핌) - EASY
  8위, 아이유 (IU) - Love wins all
  9위, 이창섭 - 천상연
 10위, 임재현 - 비의 랩소디
 11위, QWER - 고민중독
 12위, 태연 (TAEYEON) - To. X
 13위, 이무진 - 에피소드
 14위, IVE (아이브) - I AM
 15위, LE SSERAFIM (르세라핌) - Smart
 16위, 박재정 - 헤어지자 말해요
 17위, AKMU (악뮤) - Love Lee
 18위, 아이유 (IU) - 홀씨
 19위, 윤하 (YOUNHA) - 사건의 지평선
 20위, (여자)아이들 - 퀸카 (Queencard)
 21위, 너드커넥션 (Nerd Connection) - 그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
 22위, 멜로망스 (MeloMance) - 사랑인가 봐
 23위, LE SSERAFIM (르세라핌) - Perfect Night
 24위, DAY6 (데이식스) - Welcome to the Show
 25위, 임영웅 - 사랑은 늘 도망가
 26위, aespa - Drama
 27위, Crush - 미안해 미워해 사랑해
 28위, RIIZE - Love 119
 29위, 범진 - 인사
 30위, NewJeans - Hype Boy
 31위, DK (디셈버) - 심 (心)
 32위, 임영웅 - 우리들의 블루스
 33위, NewJeans - Ditto
 34위, AKMU (악뮤) - 후라이의 꿈
 35위, 임영웅 - 이제 나만 믿어요
 36위, Charlie Puth - I Don't Think That I Like Her
 37위, 우디 (Woody) - 혹시 세상에 혼자 남겨진 것 같다면
 38위, 우디 (Woody) - 사막에서 꽃을 피우듯
 39위, 임영웅 - 모래 알갱이
 40위, 정국 - Seven (Feat. Latto) (Clean Ver.)
 41위, BABYMONSTER - SHEESH
 42위, 장범준 - 흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
 43위, 임영웅 - 다시 만날 수 있을까
 44위, VIVIZ (비비지) - MANIAC
 45위, (여자)아이들 - Super Lady
 46위, 성시경 - 너의 모든 순간
 47위, 제니 (JENNIE) - You & Me
 48위, 임영웅 - 무지개
 49위, NewJeans - Super Shy
 50위, NewJeans - ETA
 51위, (여자)아이들 - Wife
 52위, 아이유 (IU) - Shopper
 53위, Charlie Puth - Dangerously
 54위, 임영웅 - Do or Die
 55위, 순순희 (기태) - 그대가 내 안에 박혔다 (그내박)
 56위, IVE (아이브) - Kitsch
 57위, DK (디셈버) - 영원
 58위, 임영웅 - London Boy
 59위, IVE (아이브) - Baddie
 60위, 잔나비 - 주저하는 연인들을 위해
 61위, IVE (아이브) - After LIKE
 62위, 경서예지 & 전건호 - 다정히 내 이름을 부르면
