stationId,stationName,parkingQRBikeCnt,parkingELECBikeCnt,stationLatitude,stationLongitude,parking_total
ST-4,102. 망원역 1번출구 앞,10,4,37.5556488,126.91062927,14
ST-5,103. 망원역 2번출구 앞,4,4,37.55495071,126.91083527,8
ST-6,104. 합정역 1번출구 앞,0,2,37.55073929,126.91508484,2
ST-7,105. 합정역 5번출구 앞,1,0,37.55000687,126.91482544,1
ST-8,106. 합정역 7번출구 앞,0,0,37.54864502,126.91282654,0
ST-9,107. 신한은행 서교동지점,2,4,37.55751038,126.91850281,6
ST-10,108. 서교동 사거리,9,3,37.55274582,126.91861725,12
ST-15,111. 상수역 2번출구 앞,1,0,37.54787064,126.92353058,1
ST-16,112. 극동방송국 앞,1,1,37.54920197,126.92320251,2
ST-18,113. 홍대입구역 2번출구 앞,63,8,37.5574379,126.9238205,71
ST-20,114. 홍대입구역 8번출구 앞,21,2,37.55706024,126.92442322,23
ST-12,115. 마스타 빌딩 앞,10,0,37.55893326,126.92711639,10
ST-17,117. 홍은사거리,8,1,37.59115982,126.94132996,9
ST-19,118. 광흥창역 2번출구 앞,1,0,37.54773331,126.9317627,1
ST-21,119. 서강나루 공원,6,8,37.54520798,126.93146515,14
ST-22,120. 신수동 사거리,2,1,37.54524231,126.93411255,3
ST-23,121. 마포소방서 앞,0,1,37.54976654,126.93317413,1
ST-24,122. 신성기사식당 앞,3,3,37.54745865,126.93837738,6
ST-25,123. 문화촌 공원,4,0,37.59432983,126.9473877,4
ST-26,124. 서강대 정문 건너편,1,2,37.55113983,126.93698883,3
ST-28,126. 서강대 후문 옆,4,5,37.55041122,126.94384766,9
ST-29,127. 현대벤처빌 앞,0,0,37.5535202,126.93695068,0
ST-30,128. 신촌역(2호선) 1번출구 옆,1,3,37.55549622,126.93634033,4
ST-31,129. 신촌역(2호선) 6번출구 옆,0,0,37.55505371,126.93756866,0
ST-32,130. 신촌역(2호선) 7번출구 앞,4,2,37.55485916,126.93615723,6
ST-33,131. 증산2교,6,7,37.5841713,126.91110229,13
ST-35,133. 해담는다리,5,6,37.58203125,126.90899658,11
ST-36,134. 연세로 명물길,6,0,37.55789185,126.93807983,6
ST-37,135. 명물길 원형무대 앞,0,0,37.55922699,126.93984222,0
ST-39,137. 신촌기차역입구 교차로,2,0,37.55681229,126.9431839,2
ST-40,138. 신촌동 제1공영주차장 앞,1,5,37.5591774,126.93452454,6
ST-43,139. 연세대 정문 건너편,2,0,37.55986404,126.93441772,2
ST-41,140. 이화여대 후문,7,0,37.560009,126.94073486,7
ST-42,141. 연대 대운동장 옆,5,0,37.56238174,126.93264771,5
ST-200,142. 아현역 4번출구 앞,3,0,37.55720139,126.95566559,3
ST-201,143. 공덕역 2번출구,4,2,37.54457855,126.9502182,6
ST-202,144. 공덕역 8번출구,8,2,37.5435791,126.95132446,10
ST-203,145. 공덕역 5번출구,4,4,37.54425049,126.95163727,8
ST-204,146. 마포역 2번출구 뒤,2,4,37.53993607,126.94582367,6
ST-205,147. 마포역 4번출구 뒤,0,2,37.53927231,126.94591522,2
ST-206,148. 용강동 주민센터 앞,5,3,37.54234695,126.94302368,8
ST-207,150. 서강대역 2번출구 앞,2,0,37.55295563,126.93434143,2
ST-210,153. 성산2교 사거리,0,0,37.56469727,126.91261292,0
ST-211,154. 마포구청역 ,1,1,37.56090927,126.90549469,2
ST-212,155. 가좌역1 번출구 앞,1,3,37.56829453,126.91504669,4
ST-213,156. 서울서부지방법원 앞,1,3,37.54933167,126.95491791,4
ST-214,157. 애오개역 4번출구 앞,3,0,37.5530014,126.95668793,3
ST-216,159. 이대역 4번 출구,1,0,37.55695343,126.94634247,1
ST-217,160. 북아현동 가구거리,11,2,37.55754852,126.9593811,13
ST-218,161. 무악재역1번 출구,1,0,37.58224487,126.95064545,1
ST-219,162. 봉원고가차도 밑,4,6,37.56626129,126.94667053,10
ST-220,163. 명지전문대학교 정문 앞,2,1,37.58369827,126.9249649,3
ST-221,164. 북가좌1동 주민센터 ,2,0,37.57447815,126.91004944,2
ST-222,165. 중앙근린공원,0,2,37.57513809,126.91394043,2
ST-223,166. 가재울 초등학교,4,0,37.57381821,126.91923523,4
ST-224,167. 연가초등학교 옆,0,0,37.57946014,126.91712952,0
ST-226,169. 북가좌 삼거리,0,1,37.57300186,126.90779877,1
ST-227,170. DMC파크뷰자이아파트 302동 앞,2,0,37.57311249,126.9224472,2
ST-228,171. 임광빌딩 앞,1,0,37.56472397,126.96727753,1
ST-230,173. 서대문역 8번출구 앞,1,0,37.56477737,126.96614838,1
