stationId,stationName,parkingQRBikeCnt,parkingELECBikeCnt,stationLatitude,stationLongitude,parking_total,gu,dong
ST-4,102. 망원역 1번출구 앞,0,2,37.5556488,126.91062927,2,마포구,서교동
ST-5,103. 망원역 2번출구 앞,1,3,37.55495071,126.91083527,4,마포구,망원1동
ST-6,104. 합정역 1번출구 앞,23,2,37.55073929,126.91508484,25,마포구,서교동
ST-7,105. 합정역 5번출구 앞,2,1,37.55000687,126.91482544,3,마포구,서교동
ST-8,106. 합정역 7번출구 앞,1,0,37.54864502,126.91282654,1,마포구,합정동
ST-9,107. 신한은행 서교동지점,4,3,37.55751038,126.91850281,7,마포구,서교동
ST-10,108. 서교동 사거리,18,2,37.55274582,126.91861725,20,마포구,서교동
ST-15,111. 상수역 2번출구 앞,1,0,37.54787064,126.92353058,1,마포구,서강동
ST-16,112. 극동방송국 앞,2,1,37.54920197,126.92320251,3,마포구,서강동
ST-18,113. 홍대입구역 2번출구 앞,61,7,37.5574379,126.9238205,68,마포구,서교동
ST-20,114. 홍대입구역 8번출구 앞,14,0,37.55706024,126.92442322,14,마포구,서교동
ST-12,115. 마스타 빌딩 앞,12,0,37.55893326,126.92711639,12,서대문구,신촌동
ST-17,117. 홍은사거리,0,1,37.59115982,126.94132996,1,서대문구,홍제1동
ST-19,118. 광흥창역 2번출구 앞,2,2,37.54773331,126.9317627,4,마포구,서강동
ST-21,119. 서강나루 공원,5,11,37.54520798,126.93146515,16,마포구,신수동
ST-22,120. 신수동 사거리,1,0,37.54524231,126.93411255,1,마포구,신수동
ST-23,121. 마포소방서 앞,1,0,37.54976654,126.93317413,1,마포구,신수동
ST-24,122. 신성기사식당 앞,3,5,37.54745865,126.93837738,8,마포구,신수동
ST-25,123. 문화촌 공원,4,0,37.59432983,126.9473877,4,서대문구,홍제3동
ST-26,124. 서강대 정문 건너편,2,0,37.55113983,126.93698883,2,마포구,신수동
ST-28,126. 서강대 후문 옆,3,5,37.55041122,126.94384766,8,마포구,대흥동
ST-29,127. 현대벤처빌 앞,0,1,37.5535202,126.93695068,1,마포구,대흥동
ST-30,128. 신촌역(2호선) 1번출구 옆,4,2,37.55549622,126.93634033,6,서대문구,신촌동
ST-31,129. 신촌역(2호선) 6번출구 옆,0,0,37.55505371,126.93756866,0,마포구,대흥동
ST-32,130. 신촌역(2호선) 7번출구 앞,9,1,37.55485916,126.93615723,10,마포구,대흥동
ST-33,131. 증산2교,14,8,37.5841713,126.91110229,22,서대문구,북가좌2동
ST-35,133. 해담는다리,4,8,37.58203125,126.90899658,12,서대문구,북가좌2동
ST-36,134. 연세로 명물길,5,0,37.55789185,126.93807983,5,서대문구,신촌동
ST-37,135. 명물길 원형무대 앞,10,0,37.55922699,126.93984222,10,서대문구,신촌동
ST-39,137. 신촌기차역입구 교차로,0,0,37.55681229,126.9431839,0,서대문구,신촌동
ST-40,138. 신촌동 제1공영주차장 앞,7,5,37.5591774,126.93452454,12,서대문구,신촌동
ST-43,139. 연세대 정문 건너편,1,0,37.55986404,126.93441772,1,서대문구,신촌동
ST-41,140. 이화여대 후문,10,0,37.560009,126.94073486,10,서대문구,신촌동
ST-42,141. 연대 대운동장 옆,5,0,37.56238174,126.93264771,5,서대문구,신촌동
ST-200,142. 아현역 4번출구 앞,0,0,37.55720139,126.95566559,0,마포구,아현동
ST-201,143. 공덕역 2번출구,10,2,37.54457855,126.9502182,12,마포구,아현동
ST-202,144. 공덕역 8번출구,7,1,37.5435791,126.95132446,8,마포구,공덕동
ST-203,145. 공덕역 5번출구,9,10,37.54425049,126.95163727,19,마포구,공덕동
ST-204,146. 마포역 2번출구 뒤,26,6,37.53993607,126.94582367,32,마포구,용강동
ST-205,147. 마포역 4번출구 뒤,7,6,37.53927231,126.94591522,13,마포구,도화동
ST-206,148. 용강동 주민센터 앞,5,4,37.54234695,126.94302368,9,마포구,용강동
ST-207,150. 서강대역 2번출구 앞,1,0,37.55295563,126.93434143,1,마포구,대흥동
ST-210,153. 성산2교 사거리,0,0,37.56469727,126.91261292,0,마포구,성산1동
ST-211,154. 마포구청역 ,0,2,37.56090927,126.90549469,2,마포구,성산1동
ST-212,155. 가좌역1 번출구 앞,0,4,37.56829453,126.91504669,4,마포구,성산2동
ST-213,156. 서울서부지방법원 앞,3,6,37.54933167,126.95491791,9,마포구,공덕동
ST-214,157. 애오개역 4번출구 앞,3,0,37.5530014,126.95668793,3,마포구,공덕동
ST-216,159. 이대역 4번 출구,0,0,37.55695343,126.94634247,0,서대문구,신촌동
ST-217,160. 북아현동 가구거리,0,0,37.55754852,126.9593811,0,마포구,공덕동
ST-218,161. 무악재역1번 출구,0,0,37.58224487,126.95064545,0,서대문구,홍제2동
ST-219,162. 봉원고가차도 밑,0,0,37.56626129,126.94667053,0,서대문구,신촌동
ST-220,163. 명지전문대학교 정문 앞,0,1,37.58369827,126.9249649,1,서대문구,홍은2동
ST-221,164. 북가좌1동 주민센터 ,0,0,37.57447815,126.91004944,0,서대문구,북가좌1동
ST-222,165. 중앙근린공원,0,2,37.57513809,126.91394043,2,서대문구,북가좌1동
ST-223,166. 가재울 초등학교,0,0,37.57381821,126.91923523,0,서대문구,남가좌2동
ST-224,167. 연가초등학교 옆,0,0,37.57946014,126.91712952,0,서대문구,남가좌2동
ST-226,169. 북가좌 삼거리,0,0,37.57300186,126.90779877,0,서대문구,북가좌1동
ST-227,170. DMC파크뷰자이아파트 302동 앞,0,1,37.57311249,126.9224472,1,서대문구,남가좌2동
ST-228,171. 임광빌딩 앞,1,0,37.56472397,126.96727753,1,서대문구,충현동
ST-230,173. 서대문역 8번출구 앞,0,1,37.56477737,126.96614838,1,서대문구,충현동
ST-231,175. 홍연2교옆,2,0,37.57806778,126.93088531,2,서대문구,남가좌1동
ST-555,176. 명지대학교 도서관,7,0,37.58109665,126.92402649,7,서대문구,남가좌2동
ST-345,177. 북가좌 초등학교,1,1,37.57763672,126.90965271,2,서대문구,북가좌1동
ST-349,178. 증산3교 앞,1,3,37.57987595,126.90634918,4,서대문구,북가좌1동
ST-232,179. 가좌역 4번출구 앞,3,15,37.56877518,126.91529846,18,서대문구,남가좌1동
ST-233,180. 충정로역 7번출구 아래,0,0,37.55996704,126.96246338,0,서대문구,충현동
ST-339,181. 망원초록길 입구,1,2,37.55134201,126.90267181,3,망원1동,4통
ST-340,182. 망원2빗물펌프장 앞,1,0,37.5513649,126.90306091,1,마포구,망원1동
ST-341,183. 하늘채코오롱아파트 건너편,0,5,37.56538773,126.91932678,5,마포구,연남동
ST-342,184. 7번가피자 서교망원점,4,7,37.55894852,126.90775299,11,마포구,성산1동
ST-343,185. 마포 신수공원 앞,0,0,37.54254532,126.93429565,0,마포구,신수동
ST-344,186. 월드컵공원,9,9,37.56396484,126.89820862,18,마포구,성산2동
ST-346,188. 홍은동 정원여중 입구,8,1,37.58638763,126.93512726,9,서대문구,홍은2동
ST-347,191. 서우빌딩,7,5,37.57889175,126.91073608,12,서대문구,북가좌2동
ST-348,192. 연서어린이공원,0,2,37.57222748,126.92306519,2,서대문구,연희동
ST-350,194. 증산교 앞,4,1,37.57731628,126.90296936,5,서대문구,북가좌1동
ST-351,195. 모래내고가차도 ,4,0,37.56765747,126.91780853,4,서대문구,연희동
ST-352,196. 연희교차로 인근,0,0,37.56612015,126.92589569,0,서대문구,연희동
ST-354,198. 충정2교,0,0,37.5621376,126.96377563,0,서대문구,충현동
ST-443,199. 서울 월드컵 경기장,12,4,37.56684494,126.89644623,16,마포구,성산2동
ST-45,200. 국회의원회관,3,0,37.52841568,126.91391754,3,영등포구,여의동
ST-46,201. 진미파라곤 앞,24,0,37.53123856,126.92133331,24,영등포구,여의동
ST-47,202. 국민일보 앞,112,13,37.52881622,126.92453003,125,영등포구,여의동
ST-51,203. 국회의사당역 3번출구 옆,20,0,37.5280571,126.91870117,20,영등포구,여의동
ST-50,204. 국회의사당역 5번출구 옆,10,1,37.52816391,126.91702271,11,영등포구,여의동
ST-52,205. 산업은행 앞,45,2,37.52626419,126.92050934,47,영등포구,여의동
ST-53,206. KBS 앞,39,0,37.52466583,126.91802216,39,영등포구,여의동
ST-73,207. 여의나루역 1번출구 앞,9,1,37.52715683,126.93190002,10,영등포구,여의동
ST-55,209. 유진투자증권빌딩 앞,33,0,37.52461243,126.92783356,33,영등포구,여의동
ST-59,213. KT앞,8,3,37.52190781,126.91895294,11,영등포구,여의동
ST-60,214. 금융감독원 앞,45,4,37.5230217,126.9208374,49,영등포구,여의동
ST-64,215. 여의도고교 앞,1,3,37.52483749,126.93490601,4,영등포구,여의동
